real 10.45
user 10.39
sys 0.01
real 10.45
user 10.40
sys 0.01
real 10.44
user 10.39
sys 0.00
real 10.45
user 10.39
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.01
real 10.44
user 10.39
sys 0.00
real 10.44
user 10.39
sys 0.01
real 10.44
user 10.39
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.01
real 10.44
user 10.39
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.39
sys 0.01
real 10.44
user 10.39
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.97
user 10.92
sys 0.01
real 10.45
user 10.39
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.88
user 10.83
sys 0.00
real 10.43
user 10.38
sys 0.00
real 10.45
user 10.39
sys 0.01
real 10.43
user 10.38
sys 0.01
real 10.42
user 10.37
sys 0.01
real 10.43
user 10.38
sys 0.01
real 10.44
user 10.39
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.44
user 10.39
sys 0.01
real 10.46
user 10.40
sys 0.01
real 10.44
user 10.39
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.01
real 10.46
user 10.40
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.45
user 10.40
sys 0.00
real 10.35
user 10.30
sys 0.01
real 10.45
user 10.40
sys 0.00
real 10.44
user 10.39
sys 0.00
