real 67.42
user 67.20
sys 0.01
real 66.28
user 66.06
sys 0.01
real 65.67
user 65.44
sys 0.01
real 66.29
user 66.07
sys 0.01
real 67.49
user 67.26
sys 0.00
real 67.34
user 67.11
sys 0.01
real 65.72
user 65.50
sys 0.00
real 66.31
user 66.09
sys 0.00
real 65.59
user 65.37
sys 0.00
real 68.04
user 67.81
sys 0.01
real 67.03
user 66.80
sys 0.00
real 80.98
user 80.71
sys 0.00
real 66.33
user 66.11
sys 0.00
real 66.41
user 66.18
sys 0.00
real 67.46
user 67.23
sys 0.01
real 66.13
user 65.91
sys 0.01
real 94.13
user 93.82
sys 0.00
real 66.40
user 66.18
sys 0.01
real 67.09
user 66.86
sys 0.01
real 66.97
user 66.74
sys 0.01
real 67.03
user 66.80
sys 0.00
real 66.33
user 66.11
sys 0.01
real 66.90
user 66.67
sys 0.01
real 66.29
user 66.06
sys 0.01
real 67.52
user 67.29
sys 0.00
real 67.35
user 67.12
sys 0.00
real 66.45
user 66.23
sys 0.01
real 65.57
user 65.35
sys 0.00
user 67.17
sys 0.00
real 66.28
user 66.05
sys 0.01
